key,start_weight,final_weight,z_below_surface,weight_grasped
10_15_16_33_23_001,174.0,169.93,0.02,4.069999999999993
10_15_16_33_23_000,178.79999999999998,173.90000000000003,0.02,4.899999999999949
10_15_17_29_16_001,162.29999999999998,143.9,0.05,18.399999999999977
10_15_17_29_16_003,135.40000000000003,120.84,0.05,14.56000000000003
10_15_17_29_16_007,94.10000000000001,86.88999999999999,0.05,7.210000000000022
10_15_17_29_16_004,121.29999999999998,110.86999999999998,0.05,10.430000000000007
10_15_17_29_16_006,103.70000000000002,93.79999999999998,0.05,9.900000000000034
10_15_17_29_16_005,111.4,103.6,0.05,7.800000000000011
10_15_17_29_16_000,173.90000000000003,161.29999999999998,0.05,12.600000000000051
10_15_17_29_16_002,144.29999999999998,135.29999999999998,0.05,9.0
10_15_16_58_16_013,84.70000000000002,80.70000000000002,0.03,4.0
10_15_16_58_16_008,120.20000000000002,113.73999999999998,0.03,6.460000000000036
10_15_16_58_16_001,169.5,164.24,0.03,5.259999999999991
10_15_16_58_16_015,73.10000000000001,66.88,0.03,6.220000000000013
10_15_16_58_16_003,160.70000000000002,152.20000000000002,0.03,8.5
10_15_16_58_16_011,99.79999999999998,91.68000000000002,0.03,8.119999999999962
10_15_16_58_16_007,134.5,120.08,0.03,14.420000000000002
10_15_16_58_16_009,113.79999999999998,108.79999999999998,0.03,5.0
10_15_16_58_16_014,80.60000000000001,72.66,0.03,7.940000000000012
10_15_16_58_16_004,152.29999999999998,147.40000000000003,0.03,4.899999999999949
10_15_16_58_16_006,138.79999999999998,134.36,0.03,4.439999999999969
10_15_16_58_16_005,147.29999999999998,138.43,0.03,8.869999999999976
10_15_16_58_16_000,176.5,168.84999999999997,0.03,7.650000000000034
10_15_16_58_16_010,108.79999999999998,99.79999999999998,0.03,9.0
10_15_16_58_16_012,91.79999999999998,82.97999999999999,0.03,8.819999999999993
10_15_16_58_16_002,164.90000000000003,160.79999999999998,0.03,4.100000000000051
10_15_16_36_44_020,65.60000000000001,57.23,0.02,8.370000000000012
10_15_16_36_44_016,76.20000000000002,74.29,0.02,1.9100000000000108
10_15_16_36_44_013,85.89999999999999,78.89999999999999,0.02,7.0
10_15_16_36_44_008,113.29999999999998,102.33999999999999,0.02,10.959999999999994
10_15_16_36_44_001,163.20000000000002,156.29999999999998,0.02,6.900000000000034
10_15_16_36_44_015,79.89999999999999,74.49000000000001,0.02,5.409999999999982
10_15_16_36_44_003,147.79999999999998,141.0,0.02,6.799999999999983
10_15_16_36_44_011,94.29999999999998,86.03,0.02,8.269999999999982
10_15_16_36_44_007,118.9,113.4,0.02,5.5
10_15_16_36_44_009,103.4,98.32,0.02,5.0800000000000125
10_15_16_36_44_014,81.10000000000001,77.11,0.02,3.990000000000009
10_15_16_36_44_019,68.39999999999999,65.5,0.02,2.8999999999999915
10_15_16_36_44_017,74.60000000000001,72.33,0.02,2.2700000000000102
10_15_16_36_44_018,72.29999999999998,68.29999999999998,0.02,4.0
10_15_16_36_44_004,141.0,125.6,0.02,15.400000000000006
10_15_16_36_44_006,124.20000000000002,118.73999999999998,0.02,5.460000000000036
10_15_16_36_44_005,126.0,124.05999999999999,0.02,1.940000000000012
10_15_16_36_44_000,169.59999999999997,163.21,0.02,6.389999999999958
10_15_16_36_44_010,100.20000000000002,94.19000000000003,0.02,6.009999999999991
10_15_16_36_44_012,87.5,85.72,0.02,1.7800000000000011
10_15_16_36_44_021,57.39999999999999,52.7,0.02,4.699999999999989
10_15_16_36_44_022,52.7,47.800000000000004,0.02,4.899999999999999
10_15_16_36_44_002,156.29999999999998,147.42000000000002,0.02,8.879999999999967
10_15_17_13_00_013,70.0,62.89999999999999,0.04,7.1000000000000085
10_15_17_13_00_008,109.0,104.73999999999998,0.04,4.260000000000019
10_15_17_13_00_001,163.79999999999998,159.86000000000004,0.04,3.939999999999941
10_15_17_13_00_003,151.5,142.76000000000002,0.04,8.73999999999998
10_15_17_13_00_011,84.89999999999999,76.60000000000001,0.04,8.299999999999983
10_15_17_13_00_007,117.0,108.58000000000001,0.04,8.419999999999987
10_15_17_13_00_009,104.9,95.70000000000002,0.04,9.199999999999989
10_15_17_13_00_004,143.20000000000002,131.67999999999998,0.04,11.520000000000039
10_15_17_13_00_006,126.70000000000002,117.0,0.04,9.700000000000017
10_15_17_13_00_005,132.29999999999998,126.6,0.04,5.699999999999989
10_15_17_13_00_000,175.0,163.65000000000003,0.04,11.349999999999966
10_15_17_13_00_010,97.0,84.89999999999999,0.04,12.100000000000009
10_15_17_13_00_012,76.5,69.89999999999999,0.04,6.6000000000000085
10_15_17_13_00_002,160.09999999999997,150.14999999999998,0.04,9.949999999999989
